i= 41 | event=S_STAG | counter=0 | f_prime=38242907224.67 | f_star=6087205068.67 | 4157572490.304->1998282832.916 | f_range=[6087205068.67, 55586402037.67]
i= 42 | event=NONE | counter=1 | f_prime=19496295754.67 | f_star=6087205068.67 | 1998282832.916->1998282832.916 | f_range=[6087205068.67, 55586402037.67]
i= 43 | event=NONE | counter=2 | f_prime=36658939945.00 | f_star=6087205068.67 | 1998282832.916->1998282832.916 | f_range=[6087205068.67, 55586402037.67]
i= 44 | event=NONE | counter=3 | f_prime=25273736024.67 | f_star=6087205068.67 | 1998282832.916->1998282832.916 | f_range=[6087205068.67, 55586402037.67]
i= 45 | event=IMPR | counter=0 | f_prime=2938683440.67 | f_star=2938683440.67 | 1998282832.916->1147712101.495 | f_range=[2938683440.67, 55586402037.67]
i= 46 | event=NONE | counter=1 | f_prime=4879185480.67 | f_star=2938683440.67 | 1147712101.495->1147712101.495 | f_range=[2938683440.67, 55586402037.67]
i= 47 | event=NONE | counter=2 | f_prime=10351914814.67 | f_star=2938683440.67 | 1147712101.495->1147712101.495 | f_range=[2938683440.67, 55586402037.67]
i= 48 | event=NONE | counter=3 | f_prime=15148390470.00 | f_star=2938683440.67 | 1147712101.495->1147712101.495 | f_range=[2938683440.67, 55586402037.67]
i= 49 | event=STAG | counter=0 | f_prime=18581673810.00 | f_star=2938683440.67 | 1147712101.495->1998282832.916 | f_range=[2938683440.67, 55586402037.67]
i= 50 | event=NONE | counter=1 | f_prime=18804617928.00 | f_star=2938683440.67 | 1998282832.916->1998282832.916 | f_range=[2938683440.67, 55586402037.67]
i= 51 | event=NONE | counter=2 | f_prime=10161940916.67 | f_star=2938683440.67 | 1998282832.916->1998282832.916 | f_range=[2938683440.67, 55586402037.67]
i= 52 | event=NONE | counter=3 | f_prime=52984415309.00 | f_star=2938683440.67 | 1998282832.916->1998282832.916 | f_range=[2938683440.67, 55586402037.67]
i= 53 | event=STAG | counter=0 | f_prime=24658252819.67 | f_star=2938683440.67 | 1998282832.916->3479212491.640 | f_range=[2938683440.67, 55586402037.67]
i= 54 | event=NONE | counter=1 | f_prime=9375580522.67 | f_star=2938683440.67 | 3479212491.640->3479212491.640 | f_range=[2938683440.67, 55586402037.67]
i= 55 | event=NONE | counter=2 | f_prime=15041074748.67 | f_star=2938683440.67 | 3479212491.640->3479212491.640 | f_range=[2938683440.67, 55586402037.67]
i= 56 | event=NONE | counter=3 | f_prime=13500477085.00 | f_star=2938683440.67 | 3479212491.640->3479212491.640 | f_range=[2938683440.67, 55586402037.67]
i= 57 | event=STAG | counter=0 | f_prime=12415364577.00 | f_star=2938683440.67 | 3479212491.640->6057660788.849 | f_range=[2938683440.67, 55586402037.67]
i= 58 | event=S_STAG | counter=0 | f_prime=33767701926.67 | f_star=2938683440.67 | 6057660788.849->2911535418.857 | f_range=[2938683440.67, 55586402037.67]
